"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","45","Delete resource","tests","Sun Jul 20 01:55:59 GMT 2025","passed","Sun Jul 20 01:55:59 GMT 2025","TestResource","test_resource","",""
"","84","Create resource","tests","Sun Jul 20 01:55:59 GMT 2025","passed","Sun Jul 20 01:55:59 GMT 2025","TestResource","test_resource","",""
"","50","Get resource","tests","Sun Jul 20 01:55:59 GMT 2025","passed","Sun Jul 20 01:55:59 GMT 2025","TestResource","test_resource","",""
