"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","100","Create resource","tests","Sun Feb 23 01:24:09 GMT 2025","passed","Sun Feb 23 01:24:09 GMT 2025","TestResource","test_resource","",""
"","53","Delete resource","tests","Sun Feb 23 01:24:09 GMT 2025","passed","Sun Feb 23 01:24:09 GMT 2025","TestResource","test_resource","",""
"","30","Get resource","tests","Sun Feb 23 01:24:09 GMT 2025","passed","Sun Feb 23 01:24:09 GMT 2025","TestResource","test_resource","",""
