"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","122","Delete resource","tests","Mon Oct 06 01:24:58 UTC 2025","passed","Mon Oct 06 01:24:58 UTC 2025","TestResource","test_resource","",""
"","287","Get resource","tests","Mon Oct 06 01:24:58 UTC 2025","passed","Mon Oct 06 01:24:58 UTC 2025","TestResource","test_resource","",""
"","351","Create resource","tests","Mon Oct 06 01:24:58 UTC 2025","passed","Mon Oct 06 01:24:58 UTC 2025","TestResource","test_resource","",""
