"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","179","Get resource","tests","Tue Dec 23 01:45:12 UTC 2025","passed","Tue Dec 23 01:45:12 UTC 2025","TestResource","test_resource","",""
"","340","Create resource","tests","Tue Dec 23 01:45:12 UTC 2025","passed","Tue Dec 23 01:45:12 UTC 2025","TestResource","test_resource","",""
"","103","Delete resource","tests","Tue Dec 23 01:45:12 UTC 2025","passed","Tue Dec 23 01:45:12 UTC 2025","TestResource","test_resource","",""
