"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","98","Create resource","tests","Tue Mar 18 01:22:45 GMT 2025","passed","Tue Mar 18 01:22:45 GMT 2025","TestResource","test_resource","",""
"","31","Get resource","tests","Tue Mar 18 01:22:45 GMT 2025","passed","Tue Mar 18 01:22:45 GMT 2025","TestResource","test_resource","",""
"","66","Delete resource","tests","Tue Mar 18 01:22:45 GMT 2025","passed","Tue Mar 18 01:22:45 GMT 2025","TestResource","test_resource","",""
