"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","178","Get resource","tests","Sun May 03 02:57:23 UTC 2026","passed","Sun May 03 02:57:23 UTC 2026","TestResource","test_resource","",""
"","332","Create resource","tests","Sun May 03 02:57:22 UTC 2026","passed","Sun May 03 02:57:23 UTC 2026","TestResource","test_resource","",""
"","174","Delete resource","tests","Sun May 03 02:57:23 UTC 2026","passed","Sun May 03 02:57:23 UTC 2026","TestResource","test_resource","",""
