"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","49","Get resource","tests","Thu Jun 05 01:39:49 GMT 2025","passed","Thu Jun 05 01:39:49 GMT 2025","TestResource","test_resource","",""
"","150","Create resource","tests","Thu Jun 05 01:39:49 GMT 2025","passed","Thu Jun 05 01:39:49 GMT 2025","TestResource","test_resource","",""
"","54","Delete resource","tests","Thu Jun 05 01:39:49 GMT 2025","passed","Thu Jun 05 01:39:49 GMT 2025","TestResource","test_resource","",""
