"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","95","Delete resource","tests","Tue Jun 10 01:42:13 GMT 2025","passed","Tue Jun 10 01:42:13 GMT 2025","TestResource","test_resource","",""
"","340","Create resource","tests","Tue Jun 10 01:42:13 GMT 2025","passed","Tue Jun 10 01:42:13 GMT 2025","TestResource","test_resource","",""
"","55","Get resource","tests","Tue Jun 10 01:42:13 GMT 2025","passed","Tue Jun 10 01:42:13 GMT 2025","TestResource","test_resource","",""
