"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","249","Delete resource","tests","Wed Dec 04 01:25:51 GMT 2024","passed","Wed Dec 04 01:25:52 GMT 2024","TestResource","test_resource","",""
"","75","Get resource","tests","Wed Dec 04 01:25:51 GMT 2024","passed","Wed Dec 04 01:25:51 GMT 2024","TestResource","test_resource","",""
"","231","Create resource","tests","Wed Dec 04 01:25:51 GMT 2024","passed","Wed Dec 04 01:25:51 GMT 2024","TestResource","test_resource","",""
