"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","419","Create resource","tests","Thu Jan 15 01:47:18 UTC 2026","passed","Thu Jan 15 01:47:18 UTC 2026","TestResource","test_resource","",""
"","117","Delete resource","tests","Thu Jan 15 01:47:18 UTC 2026","passed","Thu Jan 15 01:47:18 UTC 2026","TestResource","test_resource","",""
"","52","Get resource","tests","Thu Jan 15 01:47:18 UTC 2026","passed","Thu Jan 15 01:47:18 UTC 2026","TestResource","test_resource","",""
