"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","44","Get resource","tests","Mon Dec 02 01:26:36 GMT 2024","passed","Mon Dec 02 01:26:36 GMT 2024","TestResource","test_resource","",""
"","290","Create resource","tests","Mon Dec 02 01:26:36 GMT 2024","passed","Mon Dec 02 01:26:36 GMT 2024","TestResource","test_resource","",""
"","114","Delete resource","tests","Mon Dec 02 01:26:36 GMT 2024","passed","Mon Dec 02 01:26:36 GMT 2024","TestResource","test_resource","",""
