"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","Get resource","tests","Wed Dec 31 01:46:24 UTC 2025","passed","Wed Dec 31 01:46:24 UTC 2025","TestResource","test_resource","",""
"","96","Delete resource","tests","Wed Dec 31 01:46:24 UTC 2025","passed","Wed Dec 31 01:46:24 UTC 2025","TestResource","test_resource","",""
"","337","Create resource","tests","Wed Dec 31 01:46:23 UTC 2025","passed","Wed Dec 31 01:46:24 UTC 2025","TestResource","test_resource","",""
