"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","50","Delete resource","tests","Mon Oct 27 01:43:34 UTC 2025","passed","Mon Oct 27 01:43:34 UTC 2025","TestResource","test_resource","",""
"","133","Create resource","tests","Mon Oct 27 01:43:34 UTC 2025","passed","Mon Oct 27 01:43:34 UTC 2025","TestResource","test_resource","",""
"","122","Get resource","tests","Mon Oct 27 01:43:34 UTC 2025","passed","Mon Oct 27 01:43:34 UTC 2025","TestResource","test_resource","",""
