"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","388","Create resource","tests","Tue Sep 09 01:25:31 UTC 2025","passed","Tue Sep 09 01:25:32 UTC 2025","TestResource","test_resource","",""
"","152","Delete resource","tests","Tue Sep 09 01:25:31 UTC 2025","passed","Tue Sep 09 01:25:32 UTC 2025","TestResource","test_resource","",""
"","75","Get resource","tests","Tue Sep 09 01:25:31 UTC 2025","passed","Tue Sep 09 01:25:31 UTC 2025","TestResource","test_resource","",""
