"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","75","Delete resource","tests","Tue Apr 15 01:27:32 GMT 2025","passed","Tue Apr 15 01:27:32 GMT 2025","TestResource","test_resource","",""
"","100","Create resource","tests","Tue Apr 15 01:27:32 GMT 2025","passed","Tue Apr 15 01:27:32 GMT 2025","TestResource","test_resource","",""
"","26","Get resource","tests","Tue Apr 15 01:27:32 GMT 2025","passed","Tue Apr 15 01:27:32 GMT 2025","TestResource","test_resource","",""
