"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","55","Delete resource","tests","Thu Jul 10 01:44:23 GMT 2025","passed","Thu Jul 10 01:44:23 GMT 2025","TestResource","test_resource","",""
"","132","Create resource","tests","Thu Jul 10 01:44:23 GMT 2025","passed","Thu Jul 10 01:44:23 GMT 2025","TestResource","test_resource","",""
"","44","Get resource","tests","Thu Jul 10 01:44:23 GMT 2025","passed","Thu Jul 10 01:44:23 GMT 2025","TestResource","test_resource","",""
