"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","46","Delete resource","tests","Sun Jul 06 01:50:06 GMT 2025","passed","Sun Jul 06 01:50:06 GMT 2025","TestResource","test_resource","",""
"","56","Get resource","tests","Sun Jul 06 01:50:06 GMT 2025","passed","Sun Jul 06 01:50:06 GMT 2025","TestResource","test_resource","",""
"","171","Create resource","tests","Sun Jul 06 01:50:06 GMT 2025","passed","Sun Jul 06 01:50:06 GMT 2025","TestResource","test_resource","",""
